==12856== NVPROF is profiling process 12856, command: bin/ex01
Size: 99999, numBlks: 391, numThds: 256, mult: 100096
Inicio: qtde=100000, dt=1e-06, dx=1e-05, dx²=1e-10, kappa=4.5e-05, const=0.45
Iteracoes previstas: 10000
	HostToDevice : 0.0001211
	Inicializacao: 0.000440784
	Tempo kernels: 0.114958 
	Tempo medio  : 1.14947e-05 
	DeviceToHost : 0.0118083 
	Tempo Total  : 0.127246 
Maior valor = 99.8486
==12856== Profiling application: bin/ex01
==12856== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
407.92ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [425]
407.93ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [430]
407.95ms  9.7920us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [435]
407.96ms  9.8560us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [440]
407.97ms  9.7600us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [445]
407.98ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [450]
408.00ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [455]
408.01ms  9.7920us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [460]
408.02ms  10.016us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [465]
408.03ms  9.8560us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [470]
408.05ms  9.7920us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [475]
408.06ms  9.7930us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [480]
408.07ms  9.9200us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [485]
408.08ms  9.7600us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [490]
408.10ms  9.8560us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [495]
408.11ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [500]
408.12ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [505]
408.13ms  9.6960us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [510]
408.15ms  9.6970us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [515]
408.16ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [520]
408.17ms  9.7920us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [525]
408.19ms  9.8560us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [530]
408.20ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [535]
408.21ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [540]
408.22ms  9.9520us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [545]
408.24ms  9.8570us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [550]
408.25ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [555]
408.26ms  9.7600us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [560]
408.27ms  9.8560us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [565]
408.29ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [570]
408.30ms  9.8560us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [575]
408.31ms  9.9520us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [580]
408.32ms  9.7930us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [585]
408.34ms  9.8560us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [590]
408.35ms  9.7600us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [595]
408.36ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [600]
408.37ms  9.9200us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [605]
408.39ms  9.8560us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [610]
408.40ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [615]
408.41ms  9.8250us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [620]
408.43ms  9.7600us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [625]
408.44ms  9.9200us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [630]
408.45ms  9.8560us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [635]
408.46ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [640]
408.48ms  9.6640us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [645]
408.49ms  9.9200us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [650]
408.50ms  9.6970us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [655]
408.51ms  9.9520us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [660]
